age	job	marital	education	default	balance	housing	loan	contact	duration	campaign	previous	y
38	blue-collar	married	secondary	no	1116	no	no	unknown	80	3	0	no
39	blue-collar	single	secondary	no	16917	no	no	unknown	129	6	0	no
35	blue-collar	single	secondary	no	406	yes	no	unknown	126	12	0	no
28	admin.	single	secondary	no	267	yes	no	unknown	198	5	0	no
49	blue-collar	married	secondary	no	55	no	no	unknown	112	4	0	no
47	retired	married	primary	no	1464	no	no	unknown	180	4	0	no
38	self-employed	single	secondary	no	4056	no	no	unknown	69	2	0	no
43	technician	divorced	secondary	no	-191	no	no	unknown	76	3	0	no
47	technician	divorced	secondary	no	450	no	no	unknown	40	5	0	no
57	self-employed	married	unknown	no	964	no	no	unknown	70	5	0	no
42	entrepreneur	married	tertiary	no	5345	no	no	unknown	878	3	0	yes
41	services	married	secondary	no	0	yes	no	unknown	62	9	0	no
39	blue-collar	single	secondary	no	653	no	no	unknown	54	4	0	no
41	admin.	single	secondary	no	812	no	yes	unknown	583	4	0	yes
38	admin.	single	secondary	no	4023	no	no	unknown	339	2	0	no
37	management	single	secondary	no	235	no	no	unknown	27	2	0	no
55	admin.	married	secondary	no	994	no	no	unknown	490	2	0	no
36	blue-collar	married	primary	no	409	yes	no	unknown	81	3	0	no
47	blue-collar	married	primary	no	4157	no	no	unknown	90	3	0	no
48	services	married	secondary	no	11516	no	no	unknown	399	8	0	no
48	entrepreneur	married	secondary	no	568	no	no	unknown	148	4	0	no
45	blue-collar	married	primary	no	13117	no	no	unknown	42	2	0	no
44	management	married	tertiary	no	13893	no	no	unknown	29	2	0	no
42	admin.	married	secondary	no	105	no	no	unknown	1159	4	0	yes
54	retired	married	primary	no	1379	no	no	unknown	136	1	0	no
50	management	married	tertiary	no	396	no	no	unknown	62	2	0	no
49	retired	married	primary	no	3478	no	no	unknown	484	5	0	no
39	management	married	tertiary	no	-190	no	yes	unknown	893	8	0	yes
50	blue-collar	married	primary	no	811	no	no	unknown	103	3	0	no
59	retired	married	primary	no	1930	no	no	unknown	453	1	0	no
60	services	divorced	secondary	no	47	no	no	unknown	360	1	0	no
27	technician	single	unknown	no	555	no	no	unknown	240	9	0	no
38	blue-collar	divorced	secondary	no	2998	yes	no	unknown	91	1	0	no
60	blue-collar	married	primary	no	3230	no	no	unknown	281	4	0	no
36	blue-collar	single	secondary	no	161	yes	no	unknown	196	2	0	no
59	management	married	tertiary	no	1574	no	no	unknown	181	1	0	no
35	blue-collar	married	primary	no	234	no	no	unknown	88	5	0	no
44	blue-collar	married	primary	no	0	no	no	unknown	112	2	0	no
45	entrepreneur	divorced	tertiary	no	1273	yes	yes	unknown	197	3	0	no
37	management	married	primary	no	1959	no	no	unknown	439	1	0	no
53	retired	divorced	secondary	no	-24	no	no	unknown	303	1	0	no
44	housemaid	married	secondary	no	192	no	no	unknown	232	2	0	no
57	housemaid	married	primary	no	625	no	yes	unknown	867	1	0	yes
41	management	single	tertiary	no	8368	no	no	unknown	179	1	0	no
45	blue-collar	married	unknown	no	2056	no	yes	unknown	191	1	0	no
49	technician	single	tertiary	no	2585	no	no	unknown	64	1	0	no
44	blue-collar	married	secondary	no	289	no	no	unknown	300	1	0	no
38	housemaid	married	secondary	no	634	no	no	unknown	105	4	0	no
53	admin.	single	secondary	no	-285	no	yes	unknown	328	1	0	no
50	management	married	unknown	no	8345	no	no	unknown	561	1	0	no
54	management	married	tertiary	no	16843	no	no	unknown	116	1	0	no
52	retired	married	unknown	no	293	no	no	unknown	706	1	0	yes
51	admin.	single	unknown	no	196	no	no	unknown	98	1	0	no
39	blue-collar	married	secondary	no	7653	no	no	unknown	165	2	0	no
49	services	divorced	secondary	no	725	no	no	unknown	275	2	0	no
37	self-employed	married	secondary	no	883	no	no	unknown	153	1	0	no
54	housemaid	married	unknown	no	4789	no	no	unknown	83	1	0	no
45	management	married	tertiary	no	409	no	no	unknown	144	1	0	no
51	housemaid	married	unknown	no	819	no	no	unknown	316	1	0	no
43	management	married	tertiary	no	5523	no	no	unknown	78	1	0	no
42	technician	married	unknown	no	0	no	no	unknown	241	1	0	no
42	blue-collar	married	secondary	no	103	no	no	unknown	95	2	0	no
60	retired	married	primary	no	6307	yes	no	unknown	362	1	0	no
57	housemaid	married	primary	no	58	no	no	unknown	510	1	0	no
57	housemaid	divorced	primary	no	395	no	no	unknown	125	1	0	no
59	retired	single	secondary	no	1150	no	no	unknown	91	1	0	no
40	technician	married	secondary	no	0	no	no	unknown	420	1	0	no
31	blue-collar	single	secondary	yes	-9	yes	yes	unknown	115	16	0	no
49	entrepreneur	married	tertiary	no	384	no	no	unknown	64	1	0	no
42	self-employed	married	tertiary	no	1202	no	no	unknown	40	1	0	no
39	admin.	single	secondary	no	35	no	no	unknown	242	1	0	no
54	management	married	tertiary	no	69	no	no	unknown	113	1	0	no
52	blue-collar	married	primary	no	1884	no	no	unknown	68	4	0	no
39	services	divorced	secondary	no	2	yes	yes	unknown	62	1	0	no
46	services	married	secondary	no	379	no	no	unknown	886	2	0	no
51	unknown	married	unknown	no	12	no	no	unknown	45	1	0	no
59	retired	married	unknown	no	1033	no	no	unknown	1199	1	0	yes
40	admin.	divorced	secondary	no	6	no	no	unknown	140	1	0	no
58	housemaid	married	secondary	no	4840	no	no	unknown	366	1	0	no
37	blue-collar	single	primary	no	914	no	no	unknown	72	1	0	no
56	unknown	divorced	primary	no	558	no	no	unknown	119	1	0	no
52	housemaid	married	primary	no	3283	no	no	unknown	553	1	0	no
56	blue-collar	married	secondary	no	1210	no	no	unknown	935	1	0	yes
53	technician	married	tertiary	no	431	yes	no	unknown	74	1	0	no
45	unknown	married	primary	no	44	no	no	unknown	81	1	0	no
49	management	married	tertiary	no	64	no	no	unknown	586	1	0	yes
41	housemaid	single	primary	no	1179	yes	no	unknown	950	4	0	no
47	blue-collar	married	secondary	no	303	no	no	unknown	261	1	0	no
50	blue-collar	married	tertiary	no	676	no	no	unknown	159	1	0	no
43	admin.	divorced	secondary	no	57	no	no	unknown	46	1	0	no
40	unemployed	divorced	secondary	no	0	no	no	unknown	473	1	0	no
38	blue-collar	married	primary	no	8637	yes	no	unknown	119	1	0	no
35	blue-collar	divorced	unknown	no	164	no	no	unknown	967	2	0	yes
36	management	single	tertiary	no	0	no	no	unknown	33	1	0	no
38	services	married	secondary	no	433	no	no	unknown	148	1	0	no
45	management	married	tertiary	no	1866	no	no	unknown	116	7	0	no
58	unknown	married	unknown	no	0	no	no	unknown	464	2	0	no
38	blue-collar	married	secondary	yes	-10	no	no	unknown	174	1	0	no
36	blue-collar	married	secondary	no	717	no	no	unknown	63	1	0	no
44	blue-collar	married	secondary	no	594	no	no	unknown	340	1	0	no
58	technician	married	primary	no	139	no	no	unknown	103	1	0	no
51	technician	married	secondary	no	13089	no	no	unknown	247	1	0	no
40	blue-collar	single	primary	no	1780	no	yes	unknown	114	1	0	no
23	student	single	secondary	no	1284	yes	no	unknown	327	10	0	no
50	blue-collar	married	unknown	no	0	no	no	unknown	249	1	0	no
45	housemaid	divorced	primary	no	544	no	no	unknown	110	1	0	no
49	blue-collar	divorced	secondary	no	1869	no	yes	unknown	257	1	0	no
55	retired	married	primary	no	8894	no	no	unknown	262	1	0	no
40	blue-collar	married	secondary	no	11084	no	no	unknown	113	1	0	no
45	technician	divorced	secondary	no	0	yes	yes	unknown	127	1	0	no
45	self-employed	married	primary	no	750	no	no	unknown	183	9	0	no
56	blue-collar	married	secondary	no	0	no	no	unknown	142	2	0	no
41	housemaid	divorced	secondary	no	637	yes	yes	unknown	678	4	0	no
38	admin.	married	primary	no	464	no	yes	unknown	86	2	0	no
59	technician	married	tertiary	no	4445	no	no	unknown	96	7	0	no
25	blue-collar	married	primary	no	-83	yes	no	unknown	211	17	0	no
57	housemaid	married	primary	no	2234	no	no	unknown	201	5	0	no
54	admin.	married	secondary	no	1326	yes	no	unknown	105	2	0	no
36	unemployed	single	tertiary	no	9019	yes	no	unknown	952	3	0	no
36	services	married	secondary	no	2153	no	no	unknown	181	2	0	no
48	management	married	secondary	no	397	no	no	unknown	389	6	0	no
39	retired	married	secondary	no	-160	yes	no	unknown	203	4	0	no
32	management	single	tertiary	no	1160	yes	yes	unknown	450	2	0	no
36	management	married	tertiary	no	336	no	no	unknown	178	7	0	no
42	self-employed	married	tertiary	no	2821	no	no	unknown	203	2	0	no
37	admin.	single	secondary	no	1560	yes	no	unknown	203	2	0	no
40	services	married	secondary	no	376	yes	yes	unknown	268	2	0	no
41	management	married	tertiary	no	6204	no	yes	unknown	148	2	0	no
44	management	single	tertiary	no	825	yes	no	unknown	427	2	0	no
42	blue-collar	married	unknown	no	8600	no	no	unknown	90	9	0	no
41	unknown	single	unknown	no	1259	no	no	unknown	177	8	0	no
60	housemaid	married	secondary	no	3587	no	no	unknown	133	2	0	no
48	technician	married	tertiary	no	2369	no	no	unknown	516	2	0	no
58	management	married	tertiary	no	313	no	no	unknown	204	2	0	no
56	retired	married	primary	no	0	no	no	unknown	188	2	0	no
51	retired	married	primary	no	2525	no	no	unknown	184	2	0	no
37	entrepreneur	single	tertiary	no	108	no	no	unknown	157	6	0	no
49	services	single	secondary	no	133	no	no	unknown	319	6	0	no
58	retired	married	primary	no	5092	no	no	unknown	199	6	0	no
41	entrepreneur	married	secondary	no	2480	yes	no	unknown	394	2	0	no
43	retired	married	primary	no	7298	no	no	unknown	36	2	0	no
57	management	married	tertiary	no	1571	no	no	unknown	230	13	0	no
40	services	married	secondary	no	1325	no	no	unknown	150	2	0	no
37	blue-collar	married	primary	no	587	no	no	unknown	126	2	0	no
35	technician	single	tertiary	no	18	yes	yes	unknown	111	10	0	no
45	services	married	primary	no	116	yes	no	unknown	287	3	0	no
56	housemaid	single	primary	no	1	no	no	unknown	83	2	0	no
35	management	married	tertiary	no	810	no	no	unknown	124	4	0	no
54	retired	married	secondary	no	3671	no	no	unknown	67	3	0	no
39	self-employed	married	tertiary	no	0	no	no	unknown	904	4	0	no
38	services	divorced	primary	no	188	no	no	unknown	597	10	0	no
49	admin.	married	secondary	no	1788	yes	no	unknown	274	2	0	no
38	blue-collar	single	tertiary	no	797	yes	no	unknown	124	4	0	no
57	admin.	married	secondary	no	5888	no	yes	unknown	288	3	0	no
41	self-employed	single	tertiary	no	1755	no	no	unknown	152	10	0	no
45	services	married	secondary	no	1306	no	no	unknown	125	3	0	no
52	admin.	married	secondary	no	4233	no	no	unknown	158	2	0	no
36	admin.	divorced	secondary	no	0	no	no	unknown	203	3	0	no
58	housemaid	married	tertiary	no	497	no	no	unknown	138	5	0	no
48	blue-collar	married	primary	no	3304	no	no	unknown	409	3	0	no
60	management	married	tertiary	no	79	no	no	unknown	48	3	0	no
29	admin.	single	secondary	no	171	yes	no	unknown	83	10	0	no
37	blue-collar	married	primary	yes	-142	no	no	unknown	199	3	0	no
40	services	single	secondary	no	316	no	no	unknown	122	5	0	no
31	blue-collar	married	secondary	no	30	yes	no	unknown	172	14	0	no
36	blue-collar	married	primary	no	272	no	no	unknown	222	2	0	no
55	management	married	tertiary	no	10957	no	no	unknown	514	4	0	no
44	technician	married	tertiary	no	1454	no	no	unknown	156	2	0	no
48	admin.	married	secondary	no	13551	no	no	unknown	89	3	0	no
59	retired	single	secondary	no	2432	no	no	unknown	236	2	0	no
47	management	single	tertiary	no	0	no	no	unknown	58	3	0	no
42	blue-collar	married	primary	no	530	no	no	unknown	850	8	0	no
40	technician	married	secondary	no	240	no	no	unknown	68	4	0	no
39	blue-collar	married	unknown	no	2952	yes	no	unknown	307	2	0	no
40	blue-collar	divorced	secondary	no	181	no	no	unknown	89	6	0	no
56	technician	married	secondary	no	225	yes	no	unknown	71	12	0	no
47	management	married	unknown	no	0	no	no	unknown	77	3	0	no
38	blue-collar	married	secondary	no	2342	no	no	unknown	136	2	0	no
37	unemployed	single	tertiary	no	1706	no	no	unknown	542	3	0	no
38	blue-collar	single	primary	no	1691	no	no	unknown	265	3	0	no
52	management	divorced	tertiary	no	50	yes	no	unknown	84	3	0	no
31	technician	single	secondary	no	1094	yes	no	unknown	93	8	0	no
37	management	single	tertiary	no	8828	no	no	unknown	1010	3	0	yes
53	self-employed	divorced	tertiary	no	1841	no	no	unknown	403	5	0	no
45	management	married	tertiary	no	3370	no	no	unknown	36	3	0	no
44	services	single	secondary	no	106	no	no	unknown	109	2	0	no
49	unknown	married	primary	no	142	no	no	unknown	90	3	0	no
39	management	married	unknown	no	4800	no	no	unknown	135	3	0	no
55	blue-collar	married	secondary	no	0	no	no	unknown	614	2	0	yes
46	services	married	secondary	no	6913	no	no	unknown	781	2	0	no
38	technician	married	tertiary	no	0	no	no	unknown	112	2	0	no
55	admin.	married	secondary	no	3664	no	yes	unknown	423	2	0	no
39	services	married	secondary	no	257	yes	no	unknown	171	1	0	no
53	retired	married	secondary	no	340	yes	no	unknown	138	1	0	no
40	entrepreneur	married	secondary	no	2252	no	no	unknown	144	1	0	no
46	management	divorced	secondary	no	270	no	no	unknown	125	1	0	no
56	blue-collar	divorced	primary	no	596	no	no	unknown	123	1	0	no
49	admin.	divorced	secondary	no	1709	yes	no	unknown	106	1	0	no
58	admin.	married	secondary	no	826	no	no	unknown	885	1	0	yes
46	management	married	secondary	no	0	no	no	unknown	155	1	0	no
40	management	married	secondary	no	2596	no	no	unknown	236	1	0	no
56	admin.	married	secondary	no	1290	no	no	unknown	243	1	0	no
44	retired	married	secondary	no	2692	no	no	unknown	583	1	0	no
57	retired	single	secondary	no	5305	no	no	unknown	192	1	0	no
44	blue-collar	married	secondary	no	1671	no	no	unknown	149	1	0	no
52	admin.	married	secondary	no	693	no	no	unknown	271	1	0	no
53	housemaid	divorced	secondary	no	292	no	no	unknown	92	2	0	no
35	blue-collar	divorced	primary	no	0	no	no	unknown	200	1	0	no
36	unemployed	married	primary	no	0	no	no	unknown	107	1	0	no
44	services	married	secondary	no	938	no	no	unknown	406	1	0	no
46	technician	married	tertiary	no	53	no	no	unknown	12	3	0	no
57	entrepreneur	married	secondary	no	5657	yes	no	unknown	146	1	0	no
39	management	single	secondary	no	120	no	no	unknown	66	1	0	no
59	management	married	tertiary	no	3165	yes	no	unknown	278	2	0	no
54	management	married	tertiary	no	292	no	no	unknown	120	1	0	no
43	services	married	secondary	no	0	no	no	unknown	105	1	0	no
45	technician	divorced	secondary	no	29	no	no	unknown	385	1	0	no
36	housemaid	married	secondary	no	2880	no	no	unknown	283	1	0	no
48	technician	married	unknown	no	74	no	no	unknown	181	1	0	no
36	services	single	primary	no	183	no	no	unknown	167	5	0	no
39	self-employed	married	tertiary	no	2630	no	no	unknown	651	5	0	yes
49	blue-collar	married	primary	no	518	yes	no	unknown	223	1	0	no
43	services	married	secondary	no	2478	yes	no	unknown	157	1	0	no
53	self-employed	married	tertiary	no	4397	yes	no	unknown	252	1	0	no
49	management	married	tertiary	no	-470	yes	no	unknown	691	1	0	no
45	housemaid	divorced	primary	no	221	no	no	unknown	93	1	0	no
42	blue-collar	married	secondary	no	273	no	no	unknown	315	1	0	no
57	entrepreneur	married	unknown	no	657	no	no	unknown	344	1	0	no
58	retired	married	primary	no	657	yes	no	unknown	128	2	0	no
36	blue-collar	married	primary	no	398	yes	no	unknown	278	1	0	no
38	admin.	married	secondary	no	545	no	no	unknown	436	1	0	no
50	unknown	single	unknown	no	490	no	no	unknown	189	1	0	no
55	entrepreneur	married	secondary	no	113	yes	no	unknown	186	1	0	no
36	technician	married	secondary	no	1319	yes	no	unknown	264	1	0	no
50	blue-collar	married	primary	no	260	yes	no	unknown	237	1	0	no
40	admin.	married	secondary	no	2082	no	no	unknown	82	1	0	no
39	blue-collar	married	secondary	no	1367	no	no	unknown	43	1	0	no
40	housemaid	married	secondary	no	3944	yes	no	unknown	64	6	0	no
36	blue-collar	married	secondary	no	753	yes	no	unknown	351	1	0	no
39	blue-collar	married	primary	no	292	no	no	unknown	394	1	0	no
44	unemployed	married	secondary	no	1590	yes	no	unknown	349	1	0	no
42	unknown	single	secondary	no	1456	no	no	unknown	56	1	0	no
38	blue-collar	divorced	primary	no	0	no	no	unknown	133	1	0	no
54	technician	married	unknown	no	2564	no	no	unknown	134	1	0	no
48	blue-collar	single	secondary	no	580	yes	no	unknown	185	2	0	no
55	retired	married	secondary	no	2312	no	no	unknown	60	1	0	no
55	technician	married	secondary	no	57	yes	no	unknown	331	12	0	no
47	services	married	secondary	no	137	no	no	unknown	112	1	0	no
59	entrepreneur	married	tertiary	no	631	yes	no	unknown	167	1	0	no
55	entrepreneur	married	primary	no	214	no	no	unknown	217	1	0	no
58	management	married	primary	no	0	no	no	unknown	77	6	0	no
41	blue-collar	divorced	primary	no	1887	no	no	unknown	168	2	0	no
56	self-employed	married	secondary	no	1113	no	no	unknown	138	1	0	no
39	blue-collar	married	primary	no	1397	yes	no	unknown	10	1	0	no
47	housemaid	divorced	secondary	no	1453	no	no	unknown	303	1	0	no
44	management	married	tertiary	no	0	no	no	unknown	72	1	0	no
47	housemaid	single	tertiary	no	3727	no	no	unknown	993	6	0	yes
38	services	married	secondary	no	702	yes	no	unknown	143	1	0	no
38	services	married	secondary	no	309	no	no	unknown	160	2	0	no
40	services	married	secondary	no	1291	no	yes	unknown	138	1	0	no
38	blue-collar	married	primary	no	506	yes	yes	unknown	122	1	0	no
40	technician	married	secondary	no	8379	no	no	unknown	52	6	0	no
55	blue-collar	married	primary	no	472	no	no	unknown	80	2	0	no
49	blue-collar	married	primary	no	937	yes	no	unknown	66	1	0	no
40	management	married	tertiary	no	1041	yes	no	unknown	73	1	0	no
43	blue-collar	married	secondary	no	664	yes	no	unknown	354	1	0	no
45	management	married	primary	no	0	no	yes	unknown	54	1	0	no
52	unknown	married	unknown	no	1317	no	no	unknown	58	1	0	no
36	student	single	unknown	no	172	no	no	unknown	81	1	0	no
43	management	divorced	tertiary	no	1052	no	no	unknown	118	3	0	no
36	management	married	primary	no	5427	no	no	unknown	398	1	0	no
47	housemaid	divorced	primary	no	1405	no	no	unknown	127	1	0	no
43	housemaid	married	secondary	no	1476	no	no	unknown	216	2	0	no
35	admin.	single	secondary	no	163	yes	no	unknown	483	1	0	no
41	services	married	secondary	no	-700	no	yes	unknown	309	1	0	no
40	management	married	secondary	no	406	yes	no	unknown	577	2	0	yes
50	technician	married	tertiary	no	1347	yes	yes	unknown	582	1	0	no
35	admin.	single	secondary	no	128	no	no	unknown	46	1	0	no
56	blue-collar	married	secondary	no	2190	no	yes	unknown	270	1	0	no
54	retired	married	primary	no	2243	no	no	unknown	281	1	0	no
49	management	married	secondary	no	4848	no	no	unknown	113	1	0	no
51	housemaid	married	primary	no	3073	no	no	unknown	410	1	0	no
35	admin.	married	secondary	no	0	no	no	unknown	88	2	0	no
44	management	single	tertiary	no	3355	yes	no	unknown	312	2	0	no
37	services	married	secondary	no	1627	yes	no	unknown	602	2	0	no
60	housemaid	married	primary	no	517	no	no	unknown	1178	3	0	no
44	management	married	tertiary	no	677	yes	no	unknown	130	2	0	no
38	unemployed	married	primary	no	-363	no	no	unknown	340	2	0	no
40	housemaid	married	secondary	no	84	yes	yes	unknown	230	7	0	no
38	management	divorced	tertiary	no	10638	no	no	unknown	159	2	0	no
51	technician	divorced	primary	no	548	no	no	unknown	138	2	0	no
52	entrepreneur	divorced	tertiary	no	199	yes	yes	unknown	246	2	0	no
58	retired	married	primary	no	1761	no	no	unknown	773	4	0	no
55	management	married	tertiary	no	1433	no	no	unknown	298	3	0	no
39	services	married	secondary	no	2813	no	no	unknown	723	2	0	no
52	housemaid	married	primary	no	310	no	yes	unknown	100	4	0	no
49	blue-collar	married	primary	no	3049	no	no	unknown	124	2	0	no
42	unemployed	married	secondary	no	583	yes	no	unknown	153	6	0	no
46	management	single	tertiary	no	2223	no	no	unknown	67	3	0	no
43	management	single	tertiary	no	5658	no	no	unknown	462	3	0	no
36	entrepreneur	married	primary	no	6317	no	no	unknown	478	2	0	no
47	housemaid	married	tertiary	no	1985	no	no	unknown	320	2	0	no
41	blue-collar	married	secondary	no	1165	no	no	unknown	69	3	0	no
40	services	married	secondary	no	0	no	no	unknown	543	2	0	no
36	management	married	tertiary	no	-85	yes	no	unknown	85	2	0	no
48	management	divorced	tertiary	no	503	no	yes	unknown	1243	7	0	yes
35	management	single	tertiary	no	3140	no	no	unknown	130	3	0	no
38	entrepreneur	married	secondary	no	8	no	no	unknown	339	3	0	no
40	unemployed	divorced	secondary	no	991	yes	no	unknown	316	2	0	no
59	retired	married	primary	no	4949	no	yes	unknown	168	8	0	no
50	technician	married	secondary	no	1765	yes	no	unknown	247	2	0	no
39	services	married	secondary	no	150	no	no	unknown	243	2	0	no
46	technician	married	tertiary	no	4176	yes	no	unknown	153	6	0	no
52	services	married	secondary	no	-336	no	yes	unknown	111	8	0	no
32	blue-collar	divorced	secondary	no	-289	yes	no	unknown	161	2	0	no
24	blue-collar	single	secondary	yes	-203	yes	no	unknown	465	3	0	yes
47	retired	divorced	primary	no	2576	no	no	unknown	188	4	0	no
47	blue-collar	married	primary	no	-245	yes	yes	unknown	67	4	0	no
40	blue-collar	married	secondary	no	4259	no	no	unknown	454	4	0	no
39	services	married	secondary	no	733	no	no	unknown	83	4	0	no
50	unemployed	married	primary	no	210	no	no	unknown	247	2	0	no
56	technician	married	secondary	no	654	yes	yes	unknown	62	2	0	no
36	blue-collar	single	secondary	no	340	no	yes	unknown	559	3	0	no
29	management	single	tertiary	no	573	yes	yes	unknown	190	4	0	no
27	technician	married	secondary	no	806	yes	no	unknown	768	21	0	no
31	blue-collar	married	primary	no	0	no	no	unknown	10	5	0	no
39	blue-collar	married	primary	no	275	yes	no	unknown	189	2	0	no
58	retired	married	tertiary	no	3628	no	no	unknown	109	2	0	no
36	technician	single	secondary	no	1521	yes	no	unknown	243	2	0	no
49	housemaid	married	primary	no	785	no	no	unknown	190	6	0	no
45	services	married	primary	no	7811	no	no	unknown	143	2	0	no
36	entrepreneur	single	tertiary	no	658	yes	no	unknown	61	3	0	no
44	blue-collar	married	primary	no	749	yes	no	unknown	424	2	0	no
41	management	divorced	tertiary	no	1401	no	no	unknown	110	4	0	no
54	housemaid	married	secondary	no	1977	no	no	unknown	69	3	0	no
48	technician	married	unknown	no	5543	no	no	unknown	143	5	0	no
44	admin.	married	secondary	no	32	no	yes	unknown	241	3	0	no
49	blue-collar	married	primary	no	361	yes	no	unknown	513	2	0	yes
39	technician	single	secondary	no	175	no	yes	unknown	757	2	0	no
56	housemaid	married	primary	no	657	no	no	unknown	211	2	0	no
49	housemaid	married	primary	no	3436	no	no	unknown	171	2	0	no
40	services	married	secondary	no	2346	no	no	unknown	182	3	0	no
40	management	married	tertiary	no	60	no	no	unknown	172	6	0	no
38	blue-collar	divorced	secondary	no	727	yes	no	unknown	119	2	0	no
46	services	divorced	secondary	no	2044	no	yes	unknown	75	3	0	no
48	housemaid	married	primary	no	5908	no	no	unknown	192	4	0	no
36	blue-collar	married	secondary	no	274	yes	no	unknown	686	11	0	yes
39	unemployed	married	tertiary	no	11787	no	no	unknown	104	4	0	no
38	services	married	tertiary	no	1018	no	no	unknown	325	3	0	no
50	self-employed	married	primary	no	2636	yes	no	unknown	349	2	0	no
52	retired	divorced	tertiary	no	3687	yes	yes	unknown	741	4	0	yes
51	management	married	secondary	no	2216	yes	yes	unknown	95	8	0	no
35	services	married	secondary	no	1279	yes	no	unknown	114	5	0	no
36	blue-collar	married	primary	no	-255	yes	yes	unknown	187	2	0	no
37	blue-collar	single	secondary	no	1120	no	no	unknown	187	3	0	no
58	technician	married	secondary	no	116	no	no	unknown	580	3	0	no
31	technician	divorced	secondary	no	-1185	yes	no	unknown	81	5	0	no
52	unemployed	married	secondary	no	0	no	no	unknown	18	7	0	no
45	management	married	tertiary	no	1493	no	no	unknown	140	3	0	no
47	blue-collar	divorced	primary	no	7	no	yes	unknown	219	7	0	no
40	services	married	secondary	no	256	yes	no	unknown	95	6	0	no
51	management	married	unknown	no	721	no	no	unknown	276	3	0	no
29	technician	single	secondary	no	510	yes	no	unknown	179	15	0	no
46	technician	divorced	secondary	no	454	no	no	unknown	93	2	0	no
33	admin.	married	secondary	no	372	yes	no	unknown	106	10	0	no
43	technician	married	unknown	no	1156	no	no	unknown	90	2	0	no
36	blue-collar	married	primary	no	4143	no	yes	unknown	78	5	0	no
44	management	married	unknown	no	2982	no	no	unknown	55	2	0	no
58	retired	married	primary	no	0	yes	no	unknown	204	4	0	no
41	management	single	unknown	no	1604	no	no	unknown	287	2	0	no
39	management	married	tertiary	yes	47	no	no	unknown	84	3	0	no
51	services	married	primary	no	294	no	no	unknown	112	2	0	no
44	self-employed	married	secondary	no	6553	no	no	unknown	195	2	0	no
50	management	married	primary	no	0	no	no	unknown	264	4	0	no
47	management	divorced	unknown	no	582	yes	yes	unknown	123	2	0	no
48	technician	single	tertiary	no	0	no	no	unknown	73	4	0	no
37	services	married	secondary	no	-58	yes	no	unknown	146	3	0	no
52	management	married	primary	no	740	no	no	unknown	206	1	0	no
43	management	married	tertiary	no	0	yes	no	unknown	100	17	0	no
48	management	married	tertiary	no	342	no	no	unknown	452	1	0	no
36	blue-collar	divorced	secondary	no	808	no	no	unknown	163	1	0	no
42	entrepreneur	single	unknown	no	323	no	no	unknown	617	1	0	yes
42	management	married	tertiary	no	-380	yes	no	unknown	57	1	0	no
41	technician	married	secondary	no	902	no	no	unknown	35	6	0	no
51	admin.	married	secondary	no	924	yes	no	unknown	215	3	0	no
37	management	married	tertiary	no	57	no	no	unknown	77	1	0	no
42	services	divorced	secondary	no	167	no	no	unknown	119	1	0	no
32	blue-collar	married	secondary	no	598	yes	no	unknown	179	2	0	no
35	services	married	secondary	no	373	no	yes	unknown	162	6	0	no
41	blue-collar	married	secondary	no	2413	no	no	unknown	64	3	0	no
37	admin.	married	primary	no	7208	no	no	unknown	117	1	0	no
44	unemployed	single	primary	no	4232	no	no	unknown	227	1	0	no
59	blue-collar	married	secondary	no	969	no	no	unknown	270	1	0	no
60	admin.	married	secondary	no	504	no	no	unknown	178	4	0	no
29	management	single	tertiary	no	5894	yes	no	unknown	223	2	0	no
39	blue-collar	single	primary	no	207	no	yes	unknown	35	3	0	no
56	retired	married	tertiary	no	3708	no	no	unknown	210	2	0	no
47	retired	married	tertiary	no	1225	yes	yes	unknown	339	2	0	no
35	blue-collar	single	unknown	no	422	no	no	unknown	140	1	0	no
51	housemaid	married	primary	no	13292	no	no	unknown	1238	2	0	no
39	management	married	tertiary	no	627	no	no	unknown	32	2	0	no
38	technician	single	tertiary	no	38	no	no	unknown	64	1	0	no
39	blue-collar	married	primary	no	3705	yes	no	unknown	77	1	0	no
55	blue-collar	married	secondary	no	0	no	no	unknown	73	3	0	no
37	services	married	secondary	no	40	no	no	unknown	42	3	0	no
54	blue-collar	married	secondary	no	853	no	no	unknown	24	5	0	no
38	blue-collar	married	primary	no	298	no	no	unknown	147	1	0	no
53	housemaid	married	secondary	no	2406	yes	no	unknown	393	2	0	no
46	blue-collar	married	secondary	no	6215	no	no	unknown	155	1	0	no
38	technician	married	secondary	no	1828	no	no	unknown	35	1	0	no
48	blue-collar	married	primary	no	554	no	no	unknown	263	8	0	no
49	management	married	primary	no	330	no	no	unknown	123	1	0	no
40	blue-collar	married	secondary	no	876	no	no	unknown	208	1	0	no
38	blue-collar	married	primary	no	1602	no	no	unknown	100	1	0	no
38	self-employed	married	secondary	no	30	no	no	unknown	91	1	0	no
52	technician	divorced	tertiary	no	728	no	no	unknown	644	1	0	no
39	blue-collar	married	secondary	no	0	no	no	unknown	289	1	0	no
42	blue-collar	married	secondary	no	2256	yes	no	unknown	315	1	0	no
36	unemployed	single	secondary	no	490	yes	yes	unknown	265	3	0	no
48	unemployed	single	tertiary	no	3229	no	no	unknown	1089	1	0	yes
36	blue-collar	single	primary	no	3214	yes	no	unknown	124	2	0	no
